BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,1100,25860,39025,HomeImp,Other,10.5,0,0,94.36666667,1,9,37.11361356
1,1300,70053,68400,HomeImp,Other,7,0,2,121.8333333,0,14,36.88489409
1,1500,13500,16700,HomeImp,Other,4,0,0,149.4666667,1,10,3.7113123
1,1500,97800,112000,HomeImp,Office,3,0,0,93.33333333,0,14,31.58850318
0,1700,30548,40320,HomeImp,Other,9,0,0,101.4660019,1,8,38.26360073
1,1700,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,29.68182705
1,1800,28502,43034,HomeImp,Other,11,0,0,88.76602988,0,8,30.05113629
1,1800,32700,46740,HomeImp,Other,3,0,2,216.9333333,1,12,29.91585903
1,2000,22608,62250,HomeImp,Sales,16,0,0,115.8,0,13,36.211348
1,2000,20627,29800,HomeImp,Office,18,0,1,122.5333333,1,9,49.20639579
1,2000,45000,55000,HomeImp,Other,11,0,0,86.06666667,2,25,32.05978327
1,2000,64536,87400,HomeImp,Mgr,3,0,0,147.1333333,0,24,40.11567728
1,2000,71000,83850,HomeImp,Other,2.5,0,1,123,0,16,35.55353879
0,2000,24280,34687,HomeImp,Other,8,0,1,300.8666667,0,8,42.90999735
1,2100,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,0.524499215
1,2200,23030,40150,HomeImp,Other,19,0,0,54.6,1,16,35.73055919
1,2200,28192,120953,HomeImp,Office,4.5,0,0,90.99253347,0,13,41.5163897
1,2200,102370,46200,HomeImp,Other,2,0,1,122.2666667,1,14,29.39354338
1,2300,37626,73395,HomeImp,ProfExe,3,1,0,67.2,1,0,20.47091551
0,2300,50000,40800,HomeImp,Mgr,5,0,0,121.7333333,2,22,26.63434752
1,2300,28000,17180,HomeImp,Mgr,12,0,2,14.56666667,0,10,20.06704205
1,2400,18000,47471,HomeImp,Other,22,0,0,70.49108003,3,4,22.25394916
1,2400,34863,117195,HomeImp,Mgr,12,0,0,93.81177486,1,21,42.17316588
1,2400,98449,20200,HomeImp,Office,4,0,0,136.0666667,0,13,24.47888119
1,2400,15000,36350,HomeImp,Other,18,1,0,276.9666667,1,19,29.34392109
1,2400,25116,44516,HomeImp,Self,10,0,2,208,0,9,29.39092806
0,2400,7229,78600,HomeImp,ProfExe,8,0,0,255.7333333,0,12,21.80656346
1,2500,71408,63100,HomeImp,Self,26,2,0,145.6333333,0,12,41.28649195
1,2500,50795,60850,HomeImp,Other,16,4,15,112.6333333,3,45,39.12871763
0,2500,4000,113000,DebtCon,ProfExe,6,1,0,165.3333333,2,9,39.1663287
0,2500,78600,112505,HomeImp,Office,1,0,0,96.10232967,2,26,33.8409199
